Domanda_IT|Domanda_EN|Risposta_Corretta_IT|Risposta_Corretta_EN|Sbagliata_1_IT|Sbagliata_1_EN|Sbagliata_2_IT|Sbagliata_2_EN|Sbagliata_3_IT|Sbagliata_3_EN|Difficolta
Qual è il continente più grande del mondo?|What is the largest continent in the world?|Asia|Asia|Africa|Africa|America|America|Europa|Europe|1
Qual è l'oceano più grande del mondo?|What is the largest ocean in the world?|Pacifico|Pacific|Atlantico|Atlantic|Indiano|Indian|Artico|Arctic|1
Qual è la montagna più alta del mondo?|What is the highest mountain in the world?|Monte Everest|Mount Everest|K2|K2|Kangchenjunga|Kangchenjunga|Mont Blanc|Mont Blanc|1
Qual è il paese più grande del mondo per superficie?|What is the largest country in the world by area?|Russia|Russia|Canada|Canada|Cina|China|Stati Uniti|United States|1
Qual è la capitale della Francia?|What is the capital of France?|Parigi|Paris|Lione|Lyon|Marsiglia|Marseille|Bordeaux|Bordeaux|1
Qual è la capitale del Giappone?|What is the capital of Japan?|Tokyo|Tokyo|Osaka|Osaka|Kyoto|Kyoto|Hiroshima|Hiroshima|1
Qual è la capitale del Brasile?|What is the capital of Brazil?|Brasilia|Brasilia|Rio de Janeiro|Rio de Janeiro|São Paulo|São Paulo|Salvador|Salvador|1
Qual è la capitale dell'Australia?|What is the capital of Australia?|Canberra|Canberra|Sydney|Sydney|Melbourne|Melbourne|Brisbane|Brisbane|1
Qual è il paese più piccolo del mondo?|What is the smallest country in the world?|Città del Vaticano|Vatican City|Monaco|Monaco|San Marino|San Marino|Liechtenstein|Liechtenstein|1
Qual è la capitale degli Stati Uniti?|What is the capital of the United States?|Washington D.C.|Washington D.C.|New York|New York|Los Angeles|Los Angeles|Chicago|Chicago|1
Qual è il fiume più lungo del mondo?|What is the longest river in the world?|Nilo|Nile|Amazzoni|Amazon|Yangtze|Yangtze|Mississippi|Mississippi|1
Qual è il deserto caldo più grande del mondo?|What is the largest hot desert in the world?|Sahara|Sahara|Gobi|Gobi|Arabico|Arabian|Kalahari|Kalahari|1
In quale paese si trovano le Piramidi di Giza?|In which country are the Pyramids of Giza located?|Egitto|Egypt|Sudan|Sudan|Marocco|Morocco|Tunisia|Tunisia|1
In quale paese si trova il Machu Picchu?|In which country is Machu Picchu located?|Perù|Peru|Bolivia|Bolivia|Colombia|Colombia|Ecuador|Ecuador|1
In quale paese si trova la Grande Muraglia?|In which country is the Great Wall located?|Cina|China|Giappone|Japan|India|India|Mongolia|Mongolia|1
Qual è il continente più piccolo del mondo?|What is the smallest continent in the world?|Australia|Australia|Europa|Europe|Antartide|Antarctica|America del Sud|South America|1
In quale continente si trova l'Egitto?|In which continent is Egypt located?|Africa|Africa|Asia|Asia|Europa|Europe|Medio Oriente|Middle East|1
Qual è la capitale della Germania?|What is the capital of Germany?|Berlino|Berlin|Monaco|Munich|Amburgo|Hamburg|Francoforte|Frankfurt|1
Qual è la capitale del Canada?|What is the capital of Canada?|Ottawa|Ottawa|Toronto|Toronto|Vancouver|Vancouver|Montréal|Montréal|1
Qual è la capitale della Russia?|What is the capital of Russia?|Mosca|Moscow|San Pietroburgo|Saint Petersburg|Novosibirsk|Novosibirsk|Ekaterinburg|Yekaterinburg|1
Quale canale artificiale collega il Mar Rosso al Mar Mediterraneo?|Which artificial canal connects the Red Sea to the Mediterranean Sea?|Canale di Suez|Suez Canal|Canale di Panama|Panama Canal|Canale di Kiel|Kiel Canal|Canale di Corinto|Corinth Canal|1
In quale paese si trova il vulcano Fuji?|In which country is Mount Fuji located?|Giappone|Japan|Cina|China|Corea del Sud|South Korea|Vietnam|Vietnam|1
Qual è il paese più popoloso del mondo?|What is the most populous country in the world?|India|India|Cina|China|Stati Uniti|United States|Indonesia|Indonesia|1
In quale paese si trova la foresta pluviale amazzonica più estesa?|In which country is the largest portion of the Amazon rainforest?|Brasile|Brazil|Colombia|Colombia|Perù|Peru|Venezuela|Venezuela|1
Qual è il lago più grande del Nord America?|What is the largest lake in North America?|Lago Superiore|Lake Superior|Lago Michigan|Lake Michigan|Lago Erie|Lake Erie|Lago Ontario|Lake Ontario|1
In quale paese si trova il Kilimanjaro?|In which country is Kilimanjaro located?|Tanzania|Tanzania|Kenya|Kenya|Etiopia|Ethiopia|Uganda|Uganda|1
In quale paese si trovano le Isole Galapagos?|In which countries are the Galapagos Islands located?|Ecuador|Ecuador|Perù|Peru|Colombia|Colombia|Cile|Chile|1
In quale oceano si trova l'arcipelago delle Maldive?|In which ocean are the Maldives islands located?|Oceano Indiano|Indian Ocean|Oceano Pacifico|Pacific Ocean|Oceano Atlantico|Atlantic Ocean|Mar Rosso|Red Sea|1
Quale continente ha il maggior numero di paesi?|Which continent has the most countries?|Africa|Africa|Asia|Asia|Europa|Europe|America|America|1
Qual è la Grande Barriera Corallina e dove si trova?|What is the Great Barrier Reef and where is it?|Il sistema corallifero più grande del mondo, in Australia|The world's largest coral reef system, in Australia|Un parco naturale in Indonesia|A national park in Indonesia|Una catena di isole in Papua Nuova Guinea|An island chain in Papua New Guinea|Una riserva marina delle Filippine|A marine reserve in the Philippines|1
Qual è la catena montuosa più lunga del mondo?|What is the longest mountain range in the world?|Ande|Andes|Himalaya|Himalayas|Montagne Rocciose|Rocky Mountains|Urali|Urals|2
Quali sono i due paesi landlocked del Sud America?|What are the two landlocked countries of South America?|Bolivia e Paraguay|Bolivia and Paraguay|Perù e Bolivia|Peru and Bolivia|Colombia e Ecuador|Colombia and Ecuador|Uruguay e Paraguay|Uruguay and Paraguay|2
In quale paese si trova il Lago Baikal?|In which country is Lake Baikal located?|Russia|Russia|Mongolia|Mongolia|Kazakhstan|Kazakhstan|Cina|China|2
Quale stretto separa l'Europa dall'Africa nel Mediterraneo occidentale?|Which strait separates Europe from Africa in the western Mediterranean?|Stretto di Gibilterra|Strait of Gibraltar|Stretto di Messina|Strait of Messina|Stretto del Bosforo|Bosphorus Strait|Stretto di Sicilia|Strait of Sicily|2
Qual è la cascata più alta del mondo?|What is the highest waterfall in the world?|Salto Angel (Venezuela)|Angel Falls (Venezuela)|Cascate Vittoria|Victoria Falls|Cascate del Niagara|Niagara Falls|Cascate Iguazù|Iguazu Falls|2
