Domanda_IT|Domanda_EN|Risposta_Corretta_IT|Risposta_Corretta_EN|Sbagliata_1_IT|Sbagliata_1_EN|Sbagliata_2_IT|Sbagliata_2_EN|Sbagliata_3_IT|Sbagliata_3_EN|Difficolta
Qual è il pianeta più grande del sistema solare?|What is the largest planet in the solar system?|Giove|Jupiter|Saturno|Saturn|Urano|Uranus|Nettuno|Neptune|1
Come si chiama la nostra galassia?|What is our galaxy called?|Via Lattea|Milky Way|Andromeda|Andromeda|Magellanica Maggiore|Large Magellanic Cloud|Triangolo|Triangulum|1
Qual è il pianeta più vicino al Sole?|What is the planet closest to the Sun?|Mercurio|Mercury|Venere|Venus|Terra|Earth|Marte|Mars|1
Quanti pianeti ci sono nel sistema solare?|How many planets are in the solar system?|8|8|9|9|7|7|10|10|1
Come si chiama il satellite naturale della Terra?|What is Earth's natural satellite called?|Luna|Moon|Fobos|Phobos|Titano|Titan|Io|Io|1
In quale anno l'uomo ha messo piede sulla Luna per la prima volta?|In which year did humans first set foot on the Moon?|1969|1969|1972|1972|1965|1965|1957|1957|1
Chi è stato il primo essere umano nello spazio?|Who was the first human in space?|Yuri Gagarin|Yuri Gagarin|Neil Armstrong|Neil Armstrong|Valentina Tereshkova|Valentina Tereshkova|Alan Shepard|Alan Shepard|1
Qual è il pianeta più lontano dal Sole?|Which planet is farthest from the Sun?|Nettuno|Neptune|Urano|Uranus|Saturno|Saturn|Plutone|Pluto|1
Cos'è un buco nero?|What is a black hole?|Una regione con gravità così forte che nemmeno la luce può sfuggire|A region with gravity so strong not even light can escape|Una stella morta|A dead star|Un pianeta oscuro|A dark planet|Un vuoto nello spazio|A void in space|1
Come si chiama il primo satellite artificiale lanciato dall'uomo?|What is the first artificial satellite launched by humans called?|Sputnik 1|Sputnik 1|Explorer 1|Explorer 1|Vostok 1|Vostok 1|Luna 1|Luna 1|1
In quale anno è stato lanciato il primo satellite artificiale?|In which year was the first artificial satellite launched?|1957|1957|1961|1961|1969|1969|1950|1950|1
Cos'è una cometa?|What is a comet?|Un corpo ghiacciato che orbita intorno al Sole|An icy body that orbits the Sun|Un asteroide metallico|A metallic asteroid|Un frammento di pianeta|A planet fragment|Una piccola luna|A small moon|1
Qual è il pianeta con gli anelli più vistosi?|Which planet has the most prominent rings?|Saturno|Saturn|Giove|Jupiter|Urano|Uranus|Nettuno|Neptune|1
Chi è stato il primo uomo a camminare sulla Luna?|Who was the first man to walk on the Moon?|Neil Armstrong|Neil Armstrong|Buzz Aldrin|Buzz Aldrin|Yuri Gagarin|Yuri Gagarin|Alan Shepard|Alan Shepard|1
Che cos'è un'eclissi solare?|What is a solar eclipse?|La Luna copre il Sole|The Moon covers the Sun|La Terra copre la Luna|Earth covers the Moon|Il Sole copre la Luna|The Sun covers the Moon|Marte copre il Sole|Mars covers the Sun|1
Qual è il nome del telescopio spaziale lanciato nel 1990?|What is the name of the space telescope launched in 1990?|Hubble|Hubble|Webb|Webb|Chandra|Chandra|Spitzer|Spitzer|1
Come si chiama la missione che ha portato i primi uomini sulla Luna?|What is the mission that brought the first men to the Moon called?|Apollo 11|Apollo 11|Apollo 13|Apollo 13|Gemini 7|Gemini 7|Mercury 6|Mercury 6|1
